Unnamed: 0,TARGET.52.PADYCE.01A.01R,TARGET.52.PARTKH.01A.01R,TARGET.20.PASGCE.09A.01R,TARGET.52.PASILR.01A.01R,TARGET.20.PASHHH.09A.01R,TARGET.21.PARHRS.09A.02R,TARGET.20.PARYXV.09A.01R,TARGET.52.PAWFWK.01A.01R,TARGET.52.PASAMZ.01A.01R,TARGET.20.PAECCE.04A.01R,TARGET.52.PADWRZ.01A.01R,TARGET.20.PASIEP.09A.01R,TARGET.20.PASEYM.09A.01R,TARGET.20.PASFYF.03A.01R,TARGET.20.PAPVKG.09A.01R,TARGET.52.PASXGF.01A.01R,TARGET.20.PARFIW.03A.01R,TARGET.52.PASNED.01A.01R,TARGET.52.PAKLYZ.01A.01R,TARGET.52.PASGCL.01A.02R,TARGET.20.PASELF.09A.01R,TARGET.20.PARXEC.09A.01R,TARGET.20.PARCVP.09A.01R,TARGET.52.PAVITI.01A.01R,TARGET.52.PARZRH.01A.02R,TARGET.52.PARGRN.01A.01R,TARGET.52.PAKTCT.01A.01R,TARGET.52.PAREWI.01A.02R,TARGET.20.PASFZN.09A.01R,TARGET.52.PAJPHJ.01A.01R,TARGET.52.PAEHIP.01A.01R,TARGET.52.PAWFBL.01A.01R,TARGET.20.PASFIT.09A.01R,TARGET.52.PAKPEW.01A.01R,TARGET.52.PAJLRA.01A.01R,TARGET.52.PAJMBW.01A.01R,TARGET.20.PASAFM.09A.01R,TARGET.52.NAAELV.50B.01R,TARGET.20.PASYJI.09A.03R,TARGET.20.PARGDB.04A.02R,TARGET.21.PARXYR.41A.02R,TARGET.52.PAVCKS.01A.01R,TARGET.52.PARKKN.01A.01R,TARGET.52.PASGGN.01A.01R,TARGET.52.PAVDPR.01A.01R,TARGET.52.PAVVIT.01A.01R,TARGET.52.PATYUA.01A.01R,TARGET.21.PARZIA.09A.01R,TARGET.20.PASBHI.09A.01R,TCGA.AB.2845.03B.01T.0748.13,TCGA.AB.2888.03B.01T.0748.13,TCGA.AB.2990.03B.01T.0748.13,TCGA.AB.2803.03A.01T.0734.13,TCGA.AB.2853.03A.01T.0734.13,TCGA.AB.2826.03A.01T.0734.13,TCGA.AB.2963.03A.01T.0734.13,TCGA.AB.2818.03A.01T.0734.13,TCGA.AB.2822.03A.01T.0734.13,TCGA.AB.2806.03A.01T.0734.13,TCGA.AB.2833.03A.01T.0734.13,TCGA.AB.2834.03A.01T.0734.13,TCGA.AB.2964.03A.01T.0734.13,TCGA.AB.2839.03A.01T.0734.13,TCGA.AB.2913.03A.01T.0734.13,TCGA.AB.2904.03A.01T.0734.13,TCGA.AB.2912.03A.01T.0734.13,TCGA.AB.2917.03A.01T.0734.13,TCGA.AB.2971.03A.01T.0734.13,TCGA.AB.2916.03A.01T.0734.13,TCGA.AB.2973.03A.01T.0734.13,TCGA.AB.2957.03A.01T.0734.13,TCGA.AB.2933.03A.01T.0734.13,TCGA.AB.2977.03A.01T.0734.13,TCGA.AB.2972.03A.01T.0734.13,TCGA.AB.2942.03A.01T.0734.13,TCGA.AB.2893.03A.01T.0734.13,TCGA.AB.2878.03A.01T.0734.13,TCGA.AB.2983.03A.01T.0734.13,TCGA.AB.2985.03A.01T.0734.13,TCGA.AB.2894.03A.01T.0734.13,TCGA.AB.2984.03A.01T.0734.13,TCGA.AB.2991.03A.01T.0735.13,TCGA.AB.2937.03A.01T.0734.13,TCGA.AB.2929.03A.01T.0735.13,TCGA.AB.2997.03A.01T.0735.13,TCGA.AB.2950.03A.01T.0735.13,TCGA.AB.2996.03A.01T.0735.13,TCGA.AB.2870.03A.01T.0735.13,TCGA.AB.2880.03A.01T.0735.13,TCGA.AB.2925.03A.01T.0735.13,TCGA.AB.2891.03A.01T.0735.13,TCGA.AB.2869.03A.01T.0735.13,TCGA.AB.2897.03A.01T.0735.13,TCGA.AB.2900.03A.01T.0735.13,TCGA.AB.2881.03A.01T.0735.13,TCGA.AB.2871.03A.01T.0735.13,TCGA.AB.2901.03A.01T.0735.13,TCGA.AB.2873.03A.01T.0735.13,TCGA.AB.2886.03A.01T.0735.13,TCGA.AB.3012.03A.01T.0736.13
hsa-mir-19b-2,5667,1602,4343,1120,3516,30,3533,1371,1605,8,1300,3855,3293,1898,1676,2382,1067,2401,4605,2357,1324,2119,2013,2634,5294,849,1340,1029,1044,2158,1610,1931,1282,1779,2130,1901,1690,14523,2970,9917,1077,2092,957,3700,733,2999,1175,13304,762,774,299,1687,269,811,2478,1635,1778,540,481,152,529,669,317,441,916,754,1121,968,94,174,313,617,537,846,259,563,540,487,404,1448,938,668,213,1319,248,571,517,947,1665,998,689,906,897,635,685,1144,1300,939,1465,1120
hsa-mir-200a,781,17,94,301,96,0,30,10,2,5,27,16,109,20,8,701,9,108,1,11,28,94,14,1049,996,0,106,11,26,5,89,310,10,3798,9,40,14,3,24,36,3,42,13,4,2,22,5,6,3,3,5,1,2,0,4,0,2,5,3,3,1,8,3,3,4,5,3,4,5,0,2,2,0,1,2,23,1,7,3,15,8,5,4,2,0,1,0,6,2,2,4,4,2,0,2,5,0,5,1,0
hsa-mir-200b,641,14,91,282,135,1,15,6,3,34,31,31,133,12,4,949,14,89,3,14,44,51,22,1445,1031,3,88,4,21,6,85,544,11,3180,6,33,13,4,26,23,3,66,20,4,0,28,3,16,2,3,6,2,3,1,9,0,6,4,1,1,1,6,2,4,3,2,1,2,2,0,5,3,1,3,1,15,3,6,3,13,2,2,3,3,0,0,5,3,8,4,6,4,5,1,3,1,0,8,2,4
hsa-mir-200c,2335,322,1502,628,1087,23,817,137,152,383,230,790,1910,779,196,2400,542,1029,172,65,615,1288,565,2480,1981,55,403,220,360,148,335,892,323,5692,1474,231,213,783,501,1256,247,421,492,76,62,3774,70,619,235,56,78,40,31,48,160,64,88,11,33,21,139,40,18,12,73,46,36,65,24,25,30,49,34,31,34,178,24,22,107,73,74,28,20,74,25,19,17,59,108,29,31,24,22,24,74,55,22,102,45,27
hsa-mir-202,1,0,4,0,1,0,1,2,0,0,0,0,2,2,0,2,11,1,2,1,4,4,2,2,1,0,7,1,3,0,0,182,2,0,3,2,4,1,1,0,0,0,0,4,0,1,11,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0
hsa-mir-203a,3441,172,202,787,59,2,25,209,137,11,401,28,86,150,18,689,42,9353,1603,120,64,26,73,1445,551,246,436,133,56,115,1719,466,10,4065,156,306,7,125,1129,186,23,612,3043,273,88,1081,122,50,38,7,19,7,381,5,14,4,6,8,1,1,17,95,0,1,64,7,154,184,1,5,5,6,9,20,20,1,18,8,9,7,3,561,12,55,6,5,37,8,0,6,12,6,173,3,23,8,8,12,80,1004
hsa-mir-203b,46,4,6,16,0,0,0,1,0,0,4,0,0,0,0,14,4,56,1111,5,0,0,0,19,11,2,28,0,0,2,22,10,0,95,1,1,0,10,45,7,0,23,39,3,1,69,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hsa-mir-204,80,45,0,30,167,0,0,22,1096,0,44,2,0,0,0,71,0,145,232,0,0,0,1,164,231,1,3,10,0,63,83,43,0,103,32,15,0,7,0,0,1,453,3,102,2,4,933,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-mir-205,144,108,0,8,1,1,3,89,22,0,72,1,10,5,1,122,0,39,0,17,1,1,2,49,13,46,11,8,1,1406,386,33,1,19,59,15,0,14,1,5,3,47,1,9194,30,6,24,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-mir-2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-206,1825,230,0,1,0,0,1,44327,2,0,1571,0,0,0,0,1097,0,51,185,15,0,0,0,3,16,28,18,12,0,845,547,2,0,3224,1,88,0,2,0,1,2,29,1,86,3,22,260,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-mir-208a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-208b,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-20a,63285,14449,62295,9466,45569,222,74427,9674,12541,405,14029,44420,31485,26108,14402,16248,5763,20070,43977,16072,24820,27799,20437,21429,55120,6333,14360,12001,19809,19385,14966,13818,21015,15674,13623,16774,17755,21669,11999,47331,11512,28319,5976,20024,4422,28469,5622,31523,12146,1687,660,3637,466,2408,4343,2891,3975,1203,1103,461,1439,2075,1353,1304,1772,2177,4062,2223,253,474,894,2043,1279,1965,972,1791,2110,1480,1271,4628,2117,1193,614,5678,711,1691,957,1771,2244,2171,955,2009,1091,1042,1470,2372,3273,1748,3130,837
hsa-mir-20b,101,149,8035,212,2157,21,883,554,234,374,275,78,1374,73,56,189,1551,539,623,293,631,1562,243,149,109,101,86,91,1186,98,298,104,173,477,455,477,77,159720,52,1043,241,101,450,23205,3497,137,4832,2453,232,8,55,19,1,33,33,36,36,18,8,72,471,85,5,4,521,48,308,446,34,26,5,488,6,129,8,691,239,210,316,32,8,130,8,2091,53,41,152,27,10,86,1063,614,29,26,31,162,27,289,37,46
hsa-mir-21,2640827,1645567,1678621,1416201,618764,4195,2653316,1100327,326048,5643,437337,724650,2035085,564580,70679,1077246,148594,844558,1062618,579749,1449830,2182971,209695,3062191,1882458,119282,1889384,369115,448711,948924,1898844,2804179,297903,2329585,1461980,1033797,191863,2389551,1639535,482115,451368,2494377,2153253,994365,292567,2496802,471915,339019,708760,36903,294934,89940,302004,18902,195234,64745,128597,15027,40492,125225,94502,39145,17050,8944,49901,105113,38568,215732,99112,74194,42458,60849,49065,33232,63008,59942,33231,38360,91464,46701,42164,67494,44532,104323,19417,34207,70372,115076,82672,68476,58303,31947,106097,18411,181887,42601,88502,486322,78941,132985
hsa-mir-210,4238,8506,2419,1657,1968,123,703,14203,8541,196,7275,123,575,665,139,4099,1942,4199,10190,6147,358,793,82,6949,5960,3405,17826,6110,234,7856,11485,799,115,9016,18334,11248,890,4442,142,203,380,8944,25564,4419,2726,1693,2374,188,34,221,126,1597,10,32,893,172,150,82,37,80,185,93,120,23,47,394,63,70,329,541,165,283,121,137,68,279,227,128,76,90,464,142,30,152,53,48,50,127,44,103,64,111,129,298,54,177,891,243,46,124
hsa-mir-211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2110,11,38,76,13,29,14,40,17,19,12,24,35,82,32,18,15,12,42,51,14,29,47,7,26,37,12,18,26,18,45,24,20,20,28,39,29,8,33,21,35,19,39,54,9,13,56,14,29,17,14,17,13,3,4,10,3,10,8,2,8,8,11,2,2,2,4,2,7,3,3,2,3,5,1,2,8,3,7,14,3,8,2,1,4,5,3,9,5,16,9,7,2,4,4,2,6,8,10,3,8
hsa-mir-2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2114,0,0,1,0,1,0,0,7,1,0,1,1,3,0,0,1,2,1,1,1,0,1,0,1,0,1,0,0,0,0,2,5,0,5,4,9,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2115,0,0,58,0,65,1,136,0,1,6,1,15,8,3,1,1,28,0,1,41,44,4,7,0,1,2,1,0,14,19,0,2,16,2,6,2,14,0,11,5,11,0,1,0,0,0,0,8,1,5,4,1,11,0,0,9,14,0,0,1,48,2,6,0,0,1,6,0,4,3,0,7,0,1,1,1,3,3,8,0,0,3,0,9,26,1,6,0,0,1,2,0,3,2,0,1,2,17,2,2
hsa-mir-2116,2,13,1,0,2,0,0,2,1,0,6,1,0,1,0,4,1,5,2,1,0,1,1,2,2,1,3,1,0,1,1,2,0,9,6,3,1,0,3,0,1,4,4,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-212,2790,249,35,613,14,0,22,76,123,12,674,15,51,16,5,390,6,1254,1073,294,8,21,16,1113,1054,1056,125,1658,4,1108,206,917,9,444,1391,1586,11,1306,49,39,7,150,47,52,971,218,62,10,2,3,1,2,2,3,4,1,4,2,6,1,1,4,4,1,0,3,2,2,1,0,0,0,1,3,1,0,0,2,1,0,3,1,3,0,1,1,0,2,0,0,0,0,1,1,2,4,1,2,1,0
hsa-mir-214,2680,2876,0,2628,0,0,1,3399,3973,1,4949,9,0,0,0,5459,0,8502,109,3833,0,0,19,4347,5718,3509,4239,2906,0,2975,3187,6114,0,4786,3537,6308,0,15555,0,6,3,4238,3585,1312,1605,5147,2335,7,0,0,0,0,2,0,1,0,3,0,1,1,6,0,0,1,2,7,0,1,0,2,2,0,0,0,0,1,7,2,0,0,1,1,1,0,0,4,2,0,0,4,1,1,0,0,1,0,1,4,1,10
hsa-mir-215,15,4,130,10,30,0,41,21,12,0,22,66,60,36,24,11,36,17,1121,16,20,16,33,18,10,15,8,14,20,9,7,18,19,21,30,21,15,36,130,93,62,7,20,7,13,7,7,35,15,3,4,3,3,8,10,2,15,5,9,3,4,7,1,2,6,0,17,2,28,12,0,14,6,8,2,3,6,4,5,4,8,2,5,19,14,0,1,1,1,1,8,8,3,1,2,6,2,8,3,0
hsa-mir-216a,4443,277,0,107,0,0,0,580,2,0,1,0,0,0,0,28,0,183,28,1,0,0,2,11,520,3,0,45,0,197,4,4,0,99,35,0,1,0,0,0,0,20,0,0,1,5,314,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
hsa-mir-216b,3035,338,0,78,0,0,0,620,0,0,0,0,0,0,0,18,0,89,33,1,0,0,0,0,473,2,0,31,0,140,3,0,0,62,20,0,0,0,0,0,0,17,0,0,0,10,200,0,0,0,0,5,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
hsa-mir-217,238095,15818,0,5828,7,0,18,29341,14,0,24,15,1,3,0,1556,7,7130,1220,46,8,2,49,423,31833,71,66,2241,0,8378,87,167,1,3411,1568,37,6,0,1,4,1,786,49,19,7,614,19687,1,0,0,0,87,41,1,117,0,3,0,0,0,3,34,0,1,3,2,3,124,0,0,0,3,0,14,1,50,1,2,2,0,1,39,0,0,54,0,0,1,0,0,0,6,94,0,0,2,1,1,0,8
hsa-mir-218-1,82,108,0,28,1,0,4,271,685,2,1906,21,8,1,2,1415,5,1278,23333,9698,3,0,37,147,1573,51,8416,42,0,295,52,289,0,123,58,89,1,2908,1,10,3,176,94,327,35,40,3535,13,3,1,0,2,2,0,0,1,1,0,0,0,1,2,0,1,2,6,0,0,0,0,1,0,0,1,0,1,4,0,2,0,1,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,5,0,13
hsa-mir-218-2,74,96,1,27,1,0,8,260,748,0,1869,19,6,0,1,1384,0,1266,23732,9437,0,0,31,133,1484,41,7979,53,0,317,57,283,3,93,70,70,0,2925,2,12,1,130,89,316,36,52,3608,3,2,0,0,1,1,0,1,0,1,0,0,0,2,2,0,1,1,6,0,1,0,1,0,1,0,2,0,0,1,0,0,1,1,2,0,2,0,0,0,2,0,1,0,1,1,0,0,0,1,9,1,9
hsa-mir-219a-1,63,80,61,27,44,3,71,125,67,11,40,71,39,34,25,30,16,109,155,258,59,44,45,54,132,55,37,82,30,119,65,31,34,49,49,100,38,745,40,172,24,33,34,202,47,74,1154,36,21,10,5,9,3,5,14,12,1,4,4,0,7,10,2,0,5,10,1,6,1,0,6,3,0,7,4,5,2,4,3,4,7,6,7,3,1,5,5,4,5,3,3,5,2,2,4,3,3,2,8,4
hsa-mir-219a-2,0,18,1,0,0,0,1,0,5,0,0,1,0,0,1,26,2,2,2,2,2,0,1,1,0,1,1,1,1,3,6,0,0,0,1,0,1,5,0,4,0,1,104,1,0,0,1630,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-219b,10,5,20,4,5,0,12,8,6,0,6,10,16,10,11,11,5,7,20,1,7,18,17,6,35,28,28,16,8,4,7,12,1,13,11,17,3,76,6,20,8,11,5,4,5,7,8,6,8,0,1,2,0,3,5,2,3,1,3,1,2,1,2,1,0,1,0,1,0,1,4,1,1,1,0,1,1,6,2,1,0,4,0,0,0,0,1,3,2,1,3,0,0,0,3,3,2,1,2,2
hsa-mir-22,565596,360805,473482,470471,172637,2540,156635,277290,183789,7234,416635,112808,255603,94005,16018,372097,89492,998685,386858,668860,180479,196304,105156,581091,397359,237837,190445,229971,102499,242655,276494,609742,59440,439949,1258207,328993,125644,1594349,129184,69511,92485,366289,761911,256469,469502,396133,123300,137658,71565,11658,36782,6909,27155,6595,25827,11070,40115,5469,3184,29912,16376,15176,5771,2817,9979,30483,6742,25154,19527,8754,6704,8441,9033,18255,10301,24185,23931,13935,34174,7336,6046,15740,6127,32476,8072,5088,14567,14467,10546,7675,8104,7271,9328,13524,13625,15067,18297,49889,6623,18141
hsa-mir-221,456,2043,10173,246,3942,2811,19968,192,138,1606,153,19845,13605,10588,3757,412,1082,172,3504,328,7082,3751,8493,885,265,49,8463,62,5441,98,224,16024,7269,1971,1792,669,5744,5989,17271,18308,6539,243,6766,2834,105,8793,530,28239,4193,1629,459,1073,1505,2213,3514,2463,3668,2192,2528,734,1321,962,1673,1116,1905,2038,1255,1139,566,793,1495,1579,1242,748,1277,1599,878,2572,804,352,2906,2118,1819,8207,1170,589,616,2181,2136,949,1578,548,1425,869,2222,1262,1706,791,1123,1889
hsa-mir-222,131,765,4959,72,1112,431,4608,42,49,493,75,3237,4599,4394,1406,108,251,49,903,72,2076,2566,1657,252,72,7,2428,37,1370,31,89,4260,1950,601,329,262,1944,1970,2989,5182,2062,69,1903,822,43,3316,156,5121,877,1306,440,569,427,1100,1580,1341,1332,929,1754,556,712,593,1017,567,787,1169,608,585,383,364,813,927,671,383,631,825,392,1353,376,212,1289,1450,1287,5358,803,409,462,1354,1426,587,1338,436,1381,503,1298,915,1081,463,1207,1876
hsa-mir-223,1410,1728,99786,2199,77835,1251,244708,475,550,2275,2232,157579,107552,55989,12814,2797,65887,825,4266,23154,224962,63882,46696,2065,848,559,888,1135,56543,34726,837,1307,44383,1428,11568,6280,51796,0,177228,67012,40025,4084,1421,1253,545,422,2682,85525,15909,30503,14984,19906,9039,20479,94112,29831,101093,11090,9777,10042,39388,29475,21156,7059,10928,15798,20651,28678,19215,15732,9950,14138,17000,30317,16982,25241,34096,24323,28516,13509,25376,8949,7580,21123,7911,7875,23406,20657,35473,14386,16601,8769,7204,10673,31838,11548,14847,50254,18593,7694
hsa-mir-224,159,42,0,103,31,0,0,39,39,2,21,42,7,3,3,74,156,109,163,27,8,1,87,202,91,13,30,28,1,11,93,138,4,141,38,32,7,0,10,7,6,146,50,21,59,67,32,6,2,1,15,3,1197,4,10,3,5,1,0,2,3,7,0,0,1,4,0,139,1,0,2,1,0,0,2,1,16,5,1,1,2,896,0,3,165,3,11,1,0,1,4,2,623,0,2,1,3,11,5,481
hsa-mir-2276,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
hsa-mir-2277,24,8,36,9,14,1,16,7,6,17,6,15,25,27,5,7,14,38,30,24,10,23,4,35,31,18,38,17,3,30,10,12,7,21,15,19,7,140,7,31,6,22,5,4,3,23,3,8,1,2,0,3,0,1,5,6,3,5,5,1,3,2,3,1,2,2,2,1,1,6,0,1,1,2,3,2,4,6,5,0,7,6,7,5,0,0,3,6,6,4,2,2,2,1,2,3,3,3,1,2
hsa-mir-2278,0,2,0,0,0,0,3,2,2,0,1,0,2,1,0,1,1,2,3,0,3,0,0,2,0,0,2,0,0,0,0,0,0,1,1,2,0,4,0,3,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-mir-2355,351,288,857,159,627,3,412,201,43,15,353,601,874,329,489,298,417,226,972,349,404,650,468,187,142,190,218,124,173,172,294,169,243,245,355,280,319,15,917,1718,160,148,97,68,338,110,297,291,148,113,96,118,91,22,350,47,205,88,87,59,146,40,43,13,20,67,162,63,94,42,28,141,61,66,83,180,135,56,87,52,87,48,82,64,69,73,36,81,103,54,88,6,41,13,40,38,42,123,60,20
hsa-mir-2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-23a,20137,14228,30759,11666,11741,396,58583,9715,6678,2671,15628,16478,27565,27751,2981,11378,8434,9446,9319,13787,41583,35469,12797,22204,35435,25072,5872,5692,19278,14697,19351,27252,12819,11162,12707,15784,14551,75306,54781,23351,6867,22829,15661,11267,17005,11504,6040,33283,10065,4257,6465,3139,2239,6304,13274,5899,13036,5591,4822,6597,7631,4418,6163,2448,3662,6160,6088,6589,5279,4723,3489,5612,5795,3296,6675,10637,4586,3680,7941,5122,10945,4002,8636,6275,4030,1738,5826,10187,7331,3109,3541,1966,1897,3487,8204,3323,10274,7463,3682,2665
hsa-mir-23b,4443,2312,1202,2377,1446,39,2257,8807,17995,138,2005,626,938,764,440,2453,454,5502,15183,833,1112,926,422,6903,3888,3437,18918,4954,579,833,3144,24654,692,30530,2216,3516,790,4523,1660,1755,573,3438,2845,1191,21135,17016,650,1649,248,291,317,119,141,181,405,140,329,301,355,211,311,464,130,128,231,252,207,314,294,120,82,383,276,146,154,388,138,274,220,257,487,395,385,1075,180,179,336,255,299,99,189,106,229,72,197,192,378,233,119,276
hsa-mir-23c,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,4,0,1,0,0,0,1,0,2,0,0,0,0,4,0,10,1,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-24-1,7842,6673,3306,2701,2141,73,8511,3656,5313,764,5636,6193,6032,4691,947,4122,2556,2339,14292,3380,5312,6823,2880,5493,11822,12250,5629,3162,1638,3476,3784,13624,1952,12467,3586,9357,1208,35248,15831,8633,1731,5813,3200,2990,9580,4203,5515,4374,1790,723,980,969,324,699,3057,607,1658,719,538,785,1364,536,693,452,481,965,1139,923,762,1014,1284,678,1440,624,837,1488,877,694,741,682,1687,572,657,1067,926,434,955,1641,1383,412,1012,371,353,592,1588,953,2635,1705,833,612
hsa-mir-24-2,8104,6704,3673,2728,2193,129,9099,3629,5300,783,5832,6344,6426,5032,909,4366,2670,2240,13804,3499,5605,7060,2842,5636,12396,12269,5425,3003,1697,3561,3772,13577,1990,12010,3903,9495,1260,35797,16426,8868,1814,5952,3281,3066,9223,4159,5591,4463,1765,740,1013,1151,367,716,3463,655,1859,708,576,848,1380,559,781,516,508,995,1181,1091,824,1170,1314,719,1510,694,882,1727,925,704,774,710,1796,654,703,1022,986,447,1041,1712,1451,467,1030,439,377,604,1758,980,2716,1856,871,652
